,,,,,,,,,,,,,,,,
Daily DSR of Road Accidents (RoadSafety Wing) date: 01-04-2026,,,,,,,,,,,,,,,,
"S.
No",Unit Name,No. of Accidents,,,No. of Persons died,No. of Persons Injured,NH,SH,Other Roads,,,,,,,
,,,,,,,,,Corporation / City Road,Muncipal Road,Village Roads,,,,,
,,Fatal,Non-Fatal,Total,,,,,,,,,,,,
1,SKLM,,,,,,,,,,,,,,,
2,VZM,,,,,,,,,,,,,,,
3,PVP MNYM,,,,,,,,,,,,,,,
4,ASR,,,,,,,,,,,,,,,
5,VSKP,,,,,,,,,,,,,,,
6,AKP,,,,,,,,,,,,,,,
7,KKD,,,,,,,,,,,,,,,
8,KNSM,,,,,,,,,,,,,,,
9,EG,,,,,,,,,,,,,,,
10,PLVM,,,,,,,,,,,,,,,
11,WG,,,,,,,,,,,,,,,
12,ELR,,,,,,,,,,,,,,,
13,KRI,,,,,,,,,,,,,,,
14,NTR,,,,,,,,,,,,,,,
15,GTR,,,,,,,,,,,,,,,
16,BPTL,,,,,,,,,,,,,,,
17,PLND,,,,,,,,,,,,,,,
18,PKSM,,,,,,,,,,,,,,,
19,MKP,,,,,,,,,,,,,,,
20,SPS NLR,,,,,,,,,,,,,,,
21,KRNL,,,,,,,,,,,,,,,
22,NDYL,,,,,,,,,,,,,,,
23,ATPR,,,,,,,,,,,,,,,
24,SSS,,,,,,,,,,,,,,,
25,KDP,,,,,,,,,,,,,,,
26,ANMY,,,,,,,,,,,,,,,
27,CTR,,,,,,,,,,,,,,,
28,TPTY,,,,,,,,,,,,,,,
TOTAL,,0,0,0,0,0,0,0,0,0,0,,,,,
