Proforma-I (Fatal Accidents),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.N,Unit Name,Fatal,Reason for Accident (Specified speed of vehicle),Police Station Name,NH,SH,Corporation / City Road,Muncipal Road,Village Roads,Black Spot  Yes/No,Time of Accident,Two Wheeler,,,Three Wheeler,,Car/Cab/Maxi cab,,BUS,,LORRY,,Other vehicles,,,,,
,,,,,,,,,,,,Accidents,Deaths,Wearing helmet or Not,Accidents,Deaths,Accidents,Deaths,Accidents,Deaths,Accidents,Deaths,Accidents,Deaths,,,,
1,SKLM,1,Over Speed,Kanchili,0,0,0,0,1-Srirampuram,Not,15.00,1,1,Not,0,0,0,0,0,0,0,0,0,0,,,,
2,VZM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,PVP MNYM,1,Moter cycle accused drive was rash and negligent manner with speed without blowing horn ,Makkuva PS,0,0,0,0,Duggeru to Aluguruvu village Junction ,NO,09:30:00,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
4,ASR,1,Rash & Negligence,Dumbriguda PS,1,0,0,0,0,No,23.30 hrs,1,2,no,0,0,0,0,0,0,0,0,0,0,,,,
5,VSKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,AKP,1,Rash & Negligence,Kasimkota PS,0,0,0,0,1,No,08.00 hrs,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,
7,KKD,1,Rash & Negligent,Thondangi PS,1,0,0,0,0,no,07.00 AM,0,0,0,0,0,0,0,0,0,0,0,Unknown ,1,,,,
8,KNSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,EG,2,Rash and negligent manner with high speed,"Bommuru PS,   Devarapalli PS",2,0,0,0,0,1-Yes,"03.30 PM, 08.30 PM",0,0,0,0,0,0,0,0,0,1,1,Unknown ,1,,,,
10,PVLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
11,WG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
12,ELR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
13,KRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
14,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
15,GTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
16,BPTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
17,PLND,3,Rash & Negligence,"Narasaraopet Rural PS,Chilakaluripet Rural PS,Rentachinthal PS",2,1,0,0,0,"1-Yes,2-No","11.30 hrs, 13.00 hrs, 22.30 hrs",0,0,0,0,0,0,0,0,0,2,3,Unknown ,1,,,,
18,PKSM,1,Rash and negligent manner with high speed,BALLIKURAVA PS,0,0,0,0,"Jammalamadaka village, ",NO,12:50 HRS,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,
19,MKP,1, trolley auto drove his vehicle in a rash and negligence manner with high speed and hit the lorry ,PAMUR PS,1,0,0,0,0,NO,22:30 HRS,0,0,0,0,0,0,0,0,0,0,0,TROLLEY AUTO ,1,,,,
20,SPS NLR,1,Rash & Negligence,Nellore Rural,0,0,0,0,Devarapalem Village,No,15.45,1,1,No,0,0,0,0,0,0,0,0,0,0,,,,
21,KRNL,1,rash and negligent manner with high speed,K. Nagalapuram PS,0,1,0,0,0,NO,21.00 hrs,0,0,0,0,0,0,0,0,0,0,0,Unknown ,1,,,,
22,NDYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
23,ATPR,1,Over Speed,Uravakonda,1,0,0,0,0,No,01.15 PM,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,
24,SSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
25,KDP,1,Over Speed,Kamalapuram,0,1,0,0,0,No,06.30 PM,0,0,0,0,0,0,0,0,0,0,0,1 (Tractor),1,,,,
26,ANMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
27,CTR,1,Over speed,Gudipalli PS,1,0,0,0,0,No,06.45 PM,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,
28,TPTY,1,Dashed behind the deceased auto,Sullurupeta PS,1,0,0,0,0,no,03-20 PM,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,
TOTAL,,18,,,10,3,0,0,5,,,4,5,0,1,1,2,2,0,0,5,6,6,6,,,,
