,,,,,,,,,,,,,
S.N,"Time
HOURS",Total Accidents,,,,,,,,Accidents at black spots,,,
,,No. of Accidents,,,No.of Persons,,,,,Unit Name,Fatal ,Non Fatal,Deaths
,,Fatal,Non Fatal,Total,Killed,Grievous injury,Minor injury,,,EG,1,0,1
1,06.00 to 09.00(hrs)(Day),2,3,5,2,2,2,,,PLND,1,1,1
2,09.00 to 12.00(hrs)(Day),2,8,10,3,2,12,,,KKD,0,1,0
3,12.00 to 15.00(hrs)(Day),3,5,8,3,4,3,,,WG,0,1,0
4,15.00 to 18.00(hrs)(Day),4,4,8,4,0,6,,,NTR,0,1,0
5,18.00 to 21.00(hrs)(Night),3,1,4,3,0,5,,,,,,
6,21.00 to 24.00(hrs)(Night),4,4,8,5,2,7,,,,,,
7,00.00 to 03.00(hrs)(Night),0,1,1,0,0,1,,,,,,
8,03.00 to 06.00(hrs)(Night),0,0,0,0,0,0,,,,,,
Total,,18,26,44,20,10,36,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
